"Plot Title: Adventure"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 21652379, SEN S/N: 21652379)","Temp, °C (LGR S/N: 21652379, SEN S/N: 21652379)"
129,11/06/24 06:02:30 PM,100.964,25.708
130,11/06/24 06:17:30 PM,100.939,25.610
131,11/06/24 06:32:30 PM,100.948,25.513
132,11/06/24 06:47:30 PM,100.904,25.513
133,11/06/24 07:02:30 PM,100.870,25.513
134,11/06/24 07:17:30 PM,100.868,25.416
135,11/06/24 07:32:30 PM,100.912,25.416
136,11/06/24 07:47:30 PM,100.943,25.319
137,11/06/24 08:02:30 PM,100.987,25.319
138,11/06/24 08:17:30 PM,100.998,25.319
139,11/06/24 08:32:30 PM,100.998,25.319
140,11/06/24 08:47:30 PM,101.018,25.222
141,11/06/24 09:02:30 PM,101.029,25.222
142,11/06/24 09:17:30 PM,101.026,25.125
143,11/06/24 09:32:30 PM,101.046,25.028
144,11/06/24 09:47:30 PM,101.032,24.931
145,11/06/24 10:02:30 PM,101.052,24.835
146,11/06/24 10:17:30 PM,101.060,24.738
147,11/06/24 10:32:30 PM,101.047,24.641
148,11/06/24 10:47:30 PM,101.027,24.738
149,11/06/24 11:02:30 PM,100.994,24.738
150,11/06/24 11:17:30 PM,100.974,24.835
151,11/06/24 11:32:30 PM,100.977,24.931
152,11/06/24 11:47:30 PM,100.955,24.931
153,11/07/24 12:02:30 AM,100.957,25.028
154,11/07/24 12:17:30 AM,100.960,25.125
155,11/07/24 12:32:30 AM,100.951,25.222
156,11/07/24 12:47:30 AM,100.940,25.222
157,11/07/24 01:02:30 AM,100.896,25.222
158,11/07/24 01:17:30 AM,100.885,25.222
159,11/07/24 01:32:30 AM,100.865,25.319
160,11/07/24 01:47:30 AM,100.852,25.222
161,11/07/24 02:02:30 AM,100.830,25.222
162,11/07/24 02:17:30 AM,100.830,25.222
163,11/07/24 02:32:30 AM,100.807,25.222
164,11/07/24 02:47:30 AM,100.750,25.125
165,11/07/24 03:02:30 AM,100.778,24.931
166,11/07/24 03:17:30 AM,100.784,24.738
167,11/07/24 03:32:30 AM,100.773,24.738
168,11/07/24 03:47:30 AM,100.773,24.738
169,11/07/24 04:02:30 AM,100.753,24.835
170,11/07/24 04:17:30 AM,100.720,24.835
171,11/07/24 04:32:30 AM,100.700,24.931
172,11/07/24 04:47:30 AM,100.700,24.931
173,11/07/24 05:02:30 AM,100.736,25.028
174,11/07/24 05:17:30 AM,100.747,25.028
175,11/07/24 05:32:30 AM,100.736,25.028
176,11/07/24 05:47:30 AM,100.772,25.125
177,11/07/24 06:02:30 AM,100.783,25.125
178,11/07/24 06:17:30 AM,100.805,25.125
179,11/07/24 06:32:30 AM,100.827,25.125
180,11/07/24 06:47:30 AM,100.830,25.222
181,11/07/24 07:02:30 AM,100.852,25.222
182,11/07/24 07:17:30 AM,100.854,25.319
183,11/07/24 07:32:30 AM,100.876,25.319
184,11/07/24 07:47:30 AM,100.893,25.513
185,11/07/24 08:02:30 AM,100.917,25.610
186,11/07/24 08:17:30 AM,100.942,25.708
187,11/07/24 08:32:30 AM,100.944,25.805
188,11/07/24 08:47:30 AM,100.944,25.805
189,11/07/24 09:02:30 AM,100.969,25.902
190,11/07/24 09:17:30 AM,100.947,25.902
191,11/07/24 09:32:30 AM,100.969,25.902
192,11/07/24 09:47:30 AM,100.972,26.000
193,11/07/24 10:02:30 AM,100.974,26.097
194,11/07/24 10:17:30 AM,100.960,26.390
195,11/07/24 10:32:30 AM,100.982,26.390
196,11/07/24 10:47:30 AM,100.985,26.488
197,11/07/24 11:02:30 AM,100.951,26.488
198,11/07/24 11:17:30 AM,100.960,26.390
199,11/07/24 11:32:30 AM,100.938,26.390
200,11/07/24 11:47:30 AM,100.921,26.585
201,11/07/24 12:02:30 PM,100.901,26.683
202,11/07/24 12:17:30 PM,100.915,26.781
203,11/07/24 12:32:30 PM,100.926,26.781
204,11/07/24 12:47:30 PM,100.917,26.879
205,11/07/24 01:02:30 PM,100.900,27.075
206,11/07/24 01:17:30 PM,100.870,27.173
207,11/07/24 01:32:30 PM,100.848,27.173
208,11/07/24 01:47:30 PM,100.812,27.075
209,11/07/24 02:02:30 PM,100.809,26.977
210,11/07/24 02:17:30 PM,100.798,26.977
211,11/07/24 02:32:30 PM,100.765,26.977
212,11/07/24 02:47:30 PM,100.785,26.879
213,11/07/24 03:02:30 PM,100.774,26.879
214,11/07/24 03:17:30 PM,100.796,26.879
215,11/07/24 03:32:30 PM,100.762,26.879
216,11/07/24 03:47:30 PM,100.785,26.879
217,11/07/24 04:02:30 PM,100.785,26.879
218,11/07/24 04:17:30 PM,100.785,26.879
219,11/07/24 04:32:30 PM,100.818,26.879
220,11/07/24 04:47:30 PM,100.840,26.879
221,11/07/24 05:02:30 PM,100.859,26.781
222,11/07/24 05:17:30 PM,100.859,26.781
223,11/07/24 05:32:30 PM,100.890,26.683
224,11/07/24 05:47:30 PM,100.910,26.585
225,11/07/24 06:02:30 PM,100.918,26.488
226,11/07/24 06:17:30 PM,100.938,26.390
227,11/07/24 06:32:30 PM,100.946,26.292
228,11/07/24 06:47:30 PM,100.990,26.292
229,11/07/24 07:02:30 PM,100.999,26.195
230,11/07/24 07:17:30 PM,101.007,26.097
231,11/07/24 07:32:30 PM,101.052,26.097
232,11/07/24 07:47:30 PM,101.071,26.000
233,11/07/24 08:02:30 PM,101.091,25.902
234,11/07/24 08:17:30 PM,101.080,25.902
235,11/07/24 08:32:30 PM,101.099,25.805
236,11/07/24 08:47:30 PM,101.130,25.708
237,11/07/24 09:02:30 PM,101.130,25.708
238,11/07/24 09:17:30 PM,101.152,25.708
239,11/07/24 09:32:30 PM,101.161,25.610
240,11/07/24 09:47:30 PM,101.158,25.513
241,11/07/24 10:02:30 PM,101.169,25.513
242,11/07/24 10:17:30 PM,101.178,25.416
243,11/07/24 10:32:30 PM,101.189,25.416
244,11/07/24 10:47:30 PM,101.178,25.416
245,11/07/24 11:02:30 PM,101.200,25.416
246,11/07/24 11:17:30 PM,101.175,25.319
247,11/07/24 11:32:30 PM,101.175,25.319
248,11/07/24 11:47:30 PM,101.164,25.319
249,11/08/24 12:02:30 AM,101.208,25.319
250,11/08/24 12:17:30 AM,101.228,25.222
251,11/08/24 12:32:30 AM,101.195,25.222
252,11/08/24 12:47:30 AM,101.181,25.125
253,11/08/24 01:02:30 AM,101.167,25.028
254,11/08/24 01:17:30 AM,101.178,25.028
255,11/08/24 01:32:30 AM,101.201,25.028
256,11/08/24 01:47:30 AM,101.145,25.028
257,11/08/24 02:02:30 AM,101.104,25.125
258,11/08/24 02:17:30 AM,101.070,25.125
259,11/08/24 02:32:30 AM,101.059,25.125
260,11/08/24 02:47:30 AM,101.059,25.125
261,11/08/24 03:02:30 AM,101.059,25.125
262,11/08/24 03:17:30 AM,101.035,25.028
263,11/08/24 03:32:30 AM,101.046,25.028
264,11/08/24 03:47:30 AM,101.035,25.028
265,11/08/24 04:02:30 AM,101.068,25.028
266,11/08/24 04:17:30 AM,101.079,25.028
267,11/08/24 04:32:30 AM,101.148,25.125
268,11/08/24 04:47:30 AM,101.197,25.319
269,11/08/24 05:02:30 AM,101.230,25.319
270,11/08/24 05:17:30 AM,101.266,25.416
271,11/08/24 05:32:30 AM,101.277,25.416
272,11/08/24 05:47:30 AM,101.277,25.416
273,11/08/24 06:02:30 AM,101.310,25.416
274,11/08/24 06:17:30 AM,101.310,25.416
275,11/08/24 06:32:30 AM,101.366,25.416
276,11/08/24 06:47:30 AM,101.377,25.416
277,11/08/24 07:02:30 AM,101.399,25.416
278,11/08/24 07:17:30 AM,101.424,25.513
279,11/08/24 07:32:30 AM,101.435,25.513
280,11/08/24 07:47:30 AM,101.415,25.610
281,11/08/24 08:02:30 AM,101.437,25.610
282,11/08/24 08:17:30 AM,101.437,25.610
283,11/08/24 08:32:30 AM,101.429,25.708
284,11/08/24 08:47:30 AM,101.473,25.708
285,11/08/24 09:02:30 AM,101.487,25.805
286,11/08/24 09:17:30 AM,101.498,25.805
287,11/08/24 09:32:30 AM,101.500,25.902
288,11/08/24 09:47:30 AM,101.503,26.000
289,11/08/24 10:02:30 AM,101.483,26.097
290,11/08/24 10:17:30 AM,101.475,26.195
291,11/08/24 10:32:30 AM,101.444,26.292
292,11/08/24 10:47:30 AM,101.400,26.292
293,11/08/24 11:02:30 AM,101.391,26.390
294,11/08/24 11:17:30 AM,101.383,26.488
295,11/08/24 11:32:30 AM,101.374,26.585
296,11/08/24 11:47:30 AM,101.333,26.683
297,11/08/24 12:02:30 PM,101.313,26.781
298,11/08/24 12:17:30 PM,101.296,26.977
299,11/08/24 12:32:30 PM,101.293,27.272
300,11/08/24 12:47:30 PM,101.276,27.468
301,11/08/24 01:02:30 PM,101.245,27.567
302,11/08/24 01:17:30 PM,101.215,27.665
303,11/08/24 01:32:30 PM,101.201,27.567
304,11/08/24 01:47:30 PM,101.179,27.567
305,11/08/24 02:02:30 PM,101.179,27.567
306,11/08/24 02:17:30 PM,101.143,27.468
307,11/08/24 02:32:30 PM,101.132,27.468
308,11/08/24 02:47:30 PM,101.146,27.567
309,11/08/24 03:02:30 PM,101.113,27.567
310,11/08/24 03:17:30 PM,101.090,27.567
311,11/08/24 03:32:30 PM,101.090,27.567
312,11/08/24 03:47:30 PM,101.102,27.567
313,11/08/24 04:02:30 PM,101.079,27.567
314,11/08/24 04:17:30 PM,101.077,27.468
315,11/08/24 04:32:30 PM,101.072,27.272
316,11/08/24 04:47:30 PM,101.061,27.272
317,11/08/24 05:02:30 PM,101.094,27.272
318,11/08/24 05:17:30 PM,101.083,27.272
319,11/08/24 05:32:30 PM,101.080,27.173
320,11/08/24 05:47:30 PM,101.069,27.173
321,11/08/24 06:02:30 PM,101.066,27.075
322,11/08/24 06:17:30 PM,101.086,26.977
323,11/08/24 06:32:30 PM,101.094,26.879
324,11/08/24 06:47:30 PM,101.092,26.781
325,11/08/24 07:02:30 PM,101.103,26.781
326,11/08/24 07:17:30 PM,101.134,26.683
327,11/08/24 07:32:30 PM,101.164,26.585
328,11/08/24 07:47:30 PM,101.186,26.585
329,11/08/24 08:02:30 PM,101.195,26.488
330,11/08/24 08:17:30 PM,101.195,26.488
331,11/08/24 08:32:30 PM,101.162,26.488
332,11/08/24 08:47:30 PM,101.195,26.488
333,11/08/24 09:02:30 PM,101.214,26.390
334,11/08/24 09:17:30 PM,101.203,26.390
335,11/08/24 09:32:30 PM,101.248,26.390
336,11/08/24 09:47:30 PM,101.245,26.292
337,11/08/24 10:02:30 PM,101.256,26.292
338,11/08/24 10:17:30 PM,101.253,26.195
339,11/08/24 10:32:30 PM,101.242,26.195
340,11/08/24 10:47:30 PM,101.229,26.097
341,11/08/24 11:02:30 PM,101.229,26.097
342,11/08/24 11:17:30 PM,101.229,26.097
343,11/08/24 11:32:30 PM,101.207,26.097
344,11/08/24 11:47:30 PM,101.207,26.097
345,11/09/24 12:02:30 AM,101.207,26.097
346,11/09/24 12:17:30 AM,101.207,26.097
347,11/09/24 12:32:30 AM,101.173,26.097
348,11/09/24 12:47:30 AM,101.140,26.097
349,11/09/24 01:02:30 AM,101.129,26.097
350,11/09/24 01:17:30 AM,101.129,26.097
351,11/09/24 01:32:30 AM,101.121,26.195
352,11/09/24 01:47:30 AM,101.110,26.195
353,11/09/24 02:02:30 AM,101.065,26.195
354,11/09/24 02:17:30 AM,101.065,26.195
355,11/09/24 02:32:30 AM,101.065,26.195
356,11/09/24 02:47:30 AM,101.019,26.097
357,11/09/24 03:02:30 AM,101.041,26.097
358,11/09/24 03:17:30 AM,101.052,26.097
359,11/09/24 03:32:30 AM,101.049,26.000
360,11/09/24 03:47:30 AM,101.071,26.000
361,11/09/24 04:02:30 AM,101.038,26.000
362,11/09/24 04:17:30 AM,101.016,26.000
363,11/09/24 04:32:30 AM,101.027,26.000
364,11/09/24 04:47:30 AM,101.016,26.000
365,11/09/24 05:02:30 AM,101.036,25.902
366,11/09/24 05:17:30 AM,101.036,25.902
367,11/09/24 05:32:30 AM,101.066,25.805
368,11/09/24 05:47:30 AM,101.124,25.902
369,11/09/24 06:02:30 AM,101.146,25.902
370,11/09/24 06:17:30 AM,101.168,25.902
371,11/09/24 06:32:30 AM,101.213,25.902
372,11/09/24 06:47:30 AM,101.226,26.000
373,11/09/24 07:02:30 AM,101.259,26.000
374,11/09/24 07:17:30 AM,101.293,26.000
375,11/09/24 07:32:30 AM,101.536,26.000
376,11/09/24 07:47:30 AM,101.735,26.000
377,11/09/24 08:02:30 AM,101.733,25.902
378,11/09/24 08:17:30 AM,101.688,25.902
379,11/09/24 08:32:30 AM,101.733,25.902
380,11/09/24 08:47:30 AM,101.810,25.902
381,11/09/24 09:02:30 AM,102.253,25.902
382,11/09/24 09:17:30 AM,103.555,26.195
383,11/09/24 09:32:30 AM,103.903,26.390
384,11/09/24 09:47:30 AM,103.847,26.390
385,11/09/24 10:02:30 AM,103.571,26.390
386,11/09/24 10:17:30 AM,103.350,26.390
387,11/09/24 10:32:30 AM,103.150,26.390
388,11/09/24 10:47:30 AM,102.985,26.390
389,11/09/24 11:02:30 AM,102.951,26.390
390,11/09/24 11:17:30 AM,102.877,26.488
391,11/09/24 11:32:30 AM,102.788,26.488
392,11/09/24 11:47:30 AM,102.680,26.585
393,11/09/24 12:02:30 PM,102.614,26.585
394,11/09/24 12:17:30 PM,102.506,26.683
395,11/09/24 12:32:30 PM,102.428,26.683
396,11/09/24 12:47:30 PM,102.364,26.781
397,11/09/24 01:02:30 PM,102.267,26.879
398,11/09/24 01:17:30 PM,102.159,26.977
399,11/09/24 01:32:30 PM,102.151,27.075
400,11/09/24 01:47:30 PM,102.076,27.173
401,11/09/24 02:02:30 PM,102.023,27.272
402,11/09/24 02:17:30 PM,101.948,27.370
403,11/09/24 02:32:30 PM,101.918,27.468
404,11/09/24 02:47:30 PM,101.896,27.468
405,11/09/24 03:02:30 PM,101.854,27.567
406,11/09/24 03:17:30 PM,101.843,27.567
407,11/09/24 03:32:30 PM,101.810,27.567
408,11/09/24 03:47:30 PM,101.766,27.567
409,11/09/24 04:02:30 PM,101.721,27.567
410,11/09/24 04:17:30 PM,101.743,27.567
411,11/09/24 04:32:30 PM,101.730,27.468
412,11/09/24 04:47:30 PM,101.708,27.468
413,11/09/24 05:02:30 PM,101.685,27.468
414,11/09/24 05:17:30 PM,101.663,27.468
415,11/09/24 05:32:30 PM,101.639,27.370
416,11/09/24 05:47:30 PM,101.639,27.370
417,11/09/24 06:02:30 PM,101.639,27.370
418,11/09/24 06:17:30 PM,101.647,27.272
419,11/09/24 06:32:30 PM,101.636,27.272
420,11/09/24 06:47:30 PM,101.658,27.272
421,11/09/24 07:02:30 PM,101.667,27.173
422,11/09/24 07:17:30 PM,101.644,27.173
423,11/09/24 07:32:30 PM,101.667,27.173
424,11/09/24 07:47:30 PM,101.708,27.075
425,11/09/24 08:02:30 PM,101.741,27.075
426,11/09/24 08:17:30 PM,101.772,26.977
427,11/09/24 08:32:30 PM,101.816,26.977
428,11/09/24 08:47:30 PM,101.982,26.977
429,11/09/24 09:02:30 PM,102.035,26.879
430,11/09/24 09:17:30 PM,102.046,26.879
431,11/09/24 09:32:30 PM,102.068,26.879
432,11/09/24 09:47:30 PM,102.110,26.781
433,11/09/24 10:02:30 PM,102.196,26.683
434,11/09/24 10:17:30 PM,102.757,26.585
435,11/09/24 10:32:30 PM,103.889,26.292
436,11/09/24 10:47:30 PM,104.292,26.488
437,11/09/24 11:02:30 PM,104.126,26.488
438,11/09/24 11:17:30 PM,103.761,26.488
439,11/09/24 11:32:30 PM,103.573,26.488
440,11/09/24 11:47:30 PM,103.485,26.488
441,11/10/24 12:02:30 AM,103.407,26.488
442,11/10/24 12:17:30 AM,103.319,26.488
443,11/10/24 12:32:30 AM,103.275,26.488
444,11/10/24 12:47:30 AM,103.186,26.488
445,11/10/24 01:02:30 AM,103.109,26.488
446,11/10/24 01:17:30 AM,103.065,26.488
447,11/10/24 01:32:30 AM,103.020,26.488
448,11/10/24 01:47:30 AM,102.943,26.488
449,11/10/24 02:02:30 AM,102.874,26.390
450,11/10/24 02:17:30 AM,102.808,26.390
451,11/10/24 02:32:30 AM,102.752,26.390
452,11/10/24 02:47:30 AM,102.697,26.390
453,11/10/24 03:02:30 AM,102.708,26.390
454,11/10/24 03:17:30 AM,102.719,26.390
455,11/10/24 03:32:30 AM,102.719,26.390
456,11/10/24 03:47:30 AM,102.763,26.390
457,11/10/24 04:02:30 AM,102.810,26.488
458,11/10/24 04:17:30 AM,102.846,26.585
459,11/10/24 04:32:30 AM,102.904,26.683
460,11/10/24 04:47:30 AM,102.926,26.683
461,11/10/24 05:02:30 AM,102.973,26.781
462,11/10/24 05:17:30 AM,103.006,26.781
463,11/10/24 05:32:30 AM,103.020,26.879
464,11/10/24 05:47:30 AM,103.031,26.879
465,11/10/24 06:02:30 AM,103.064,26.879
466,11/10/24 06:17:30 AM,103.089,26.977
467,11/10/24 06:32:30 AM,103.122,26.977
468,11/10/24 06:47:30 AM,103.177,26.977
469,11/10/24 07:02:30 AM,103.166,26.977
470,11/10/24 07:17:30 AM,103.221,26.977
471,11/10/24 07:32:30 AM,103.199,26.977
472,11/10/24 07:47:30 AM,103.199,26.977
473,11/10/24 08:02:30 AM,103.233,26.977
474,11/10/24 08:17:30 AM,103.255,26.977
475,11/10/24 08:32:30 AM,103.266,26.977
476,11/10/24 08:47:30 AM,103.255,26.977
477,11/10/24 09:02:30 AM,103.277,26.977
478,11/10/24 09:17:30 AM,103.290,27.075
479,11/10/24 09:32:30 AM,103.346,27.075
480,11/10/24 09:47:30 AM,103.302,27.075
481,11/10/24 10:02:30 AM,103.304,27.173
482,11/10/24 10:17:30 AM,103.293,27.173
483,11/10/24 10:32:30 AM,103.296,27.272
484,11/10/24 10:47:30 AM,103.290,27.468
485,11/10/24 11:02:30 AM,103.293,27.567
486,11/10/24 11:17:30 AM,103.273,27.665
487,11/10/24 11:32:30 AM,103.243,27.764
488,11/10/24 11:47:30 AM,103.220,27.764
489,11/10/24 12:02:30 PM,103.187,27.764
490,11/10/24 12:17:30 PM,103.143,27.764
491,11/10/24 12:32:30 PM,103.101,27.862
492,11/10/24 12:47:30 PM,103.090,27.862
493,11/10/24 01:02:30 PM,103.038,27.961
494,11/10/24 01:17:30 PM,103.038,27.961
495,11/10/24 01:32:30 PM,102.993,27.961
496,11/10/24 01:47:30 PM,102.971,27.961
497,11/10/24 02:02:30 PM,102.938,27.961
498,11/10/24 02:17:30 PM,102.902,27.862
499,11/10/24 02:32:30 PM,102.900,27.764
500,11/10/24 02:47:30 PM,102.844,27.764
501,11/10/24 03:02:30 PM,102.822,27.764
502,11/10/24 03:17:30 PM,102.789,27.764
503,11/10/24 03:32:30 PM,102.800,27.764
504,11/10/24 03:47:30 PM,102.764,27.665
505,11/10/24 04:02:30 PM,102.753,27.665
506,11/10/24 04:17:30 PM,102.756,27.764
507,11/10/24 04:32:30 PM,102.756,27.764
508,11/10/24 04:47:30 PM,102.745,27.764
509,11/10/24 05:02:30 PM,102.753,27.665
510,11/10/24 05:17:30 PM,102.789,27.764
511,11/10/24 05:32:30 PM,102.767,27.764
512,11/10/24 05:47:30 PM,102.778,27.764
513,11/10/24 06:02:30 PM,102.764,27.665
514,11/10/24 06:17:30 PM,102.775,27.665
515,11/10/24 06:32:30 PM,102.761,27.567
516,11/10/24 06:47:30 PM,102.773,27.567
517,11/10/24 07:02:30 PM,102.761,27.567
518,11/10/24 07:17:30 PM,102.773,27.567
519,11/10/24 07:32:30 PM,102.781,27.468
520,11/10/24 07:47:30 PM,102.770,27.468
521,11/10/24 08:02:30 PM,102.792,27.468
522,11/10/24 08:17:30 PM,102.792,27.468
523,11/10/24 08:32:30 PM,102.792,27.468
524,11/10/24 08:47:30 PM,102.800,27.370
525,11/10/24 09:02:30 PM,102.812,27.370
526,11/10/24 09:17:30 PM,102.812,27.370
527,11/10/24 09:32:30 PM,102.812,27.370
528,11/10/24 09:47:30 PM,102.800,27.370
529,11/10/24 10:02:30 PM,102.765,27.272
530,11/10/24 10:17:30 PM,102.776,27.272
531,11/10/24 10:32:30 PM,102.776,27.272
532,11/10/24 10:47:30 PM,102.743,27.272
533,11/10/24 11:02:30 PM,102.743,27.272
534,11/10/24 11:17:30 PM,102.729,27.173
535,11/10/24 11:32:30 PM,102.685,27.173
536,11/10/24 11:47:30 PM,102.618,27.173
537,11/11/24 12:02:30 AM,102.640,27.173
538,11/11/24 12:17:30 AM,102.671,27.075
539,11/11/24 12:32:30 AM,102.627,27.075
540,11/11/24 12:47:30 AM,102.638,27.075
541,11/11/24 01:02:30 AM,102.582,27.075
542,11/11/24 01:17:30 AM,102.602,26.977
543,11/11/24 01:32:30 AM,102.524,26.977
544,11/11/24 01:47:30 AM,102.524,26.977
545,11/11/24 02:02:30 AM,102.513,26.977
546,11/11/24 02:17:30 AM,102.480,26.977
547,11/11/24 02:32:30 AM,102.436,26.977
548,11/11/24 02:47:30 AM,102.425,26.977
549,11/11/24 03:02:30 AM,102.381,26.977
550,11/11/24 03:17:30 AM,102.378,26.879
551,11/11/24 03:32:30 AM,102.433,26.879
552,11/11/24 03:47:30 AM,102.411,26.879
